ComplyX – Gap-Analyse-Fragebogen für KMU,,,,,,,,,
"Entwurf für den Prototyp: einfache Sprache, 31 Fragen, direkte Zuordnung zu BSIG/NIS2. Die Bewertung ist eine Orientierung und kein rechtsverbindlicher Compliance-Nachweis.",,,,,,,,,
Nr.,Kategorie,Frage in einfacher Sprache,Antwortmöglichkeiten,Hilfetext / Beispiel,Rechtsbezug,Priorität,Antwort (für Test),Punkte,Ergebnis
11,4 Sicherheitsvorfälle & Meldung,Gibt es einen schriftlichen Plan für den Umgang mit Cyberangriffen und IT-Sicherheitsvorfällen?,Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,"Der Plan sollte Erkennung, Eindämmung, Beweissicherung, Wiederherstellung und Nachbereitung abdecken.",§ 30 Abs. 2 Nr. 2 BSIG; Art. 21 Abs. 2 b NIS2,Hoch,,,Noch nicht beantwortet
12,4 Sicherheitsvorfälle & Meldung,"Sind Rollen, Vertretungen und Kontaktwege für einen Sicherheitsvorfall klar festgelegt?",Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,"Zum Beispiel Geschäftsleitung, IT, Datenschutz, Kommunikation, externer IT-Dienstleister und Behördenkontakt.",§ 30 Abs. 2 Nr. 2 BSIG; Art. 21 Abs. 2 b NIS2,Hoch,,,Noch nicht beantwortet
13,4 Sicherheitsvorfälle & Meldung,"Kann das Unternehmen Sicherheitsvorfälle erkennen, bewerten und nachvollziehbar dokumentieren?",Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,"Zum Beispiel Protokollierung, Warnmeldungen, Ticket-System und Kriterien für Schweregrad und Auswirkungen.","§ 30 Abs. 2 Nr. 2 und 6 BSIG; Art. 21 Abs. 2 b, f NIS2",Hoch,,,Noch nicht beantwortet
14,4 Sicherheitsvorfälle & Meldung,"Gibt es einen Ablauf, um erhebliche Sicherheitsvorfälle fristgerecht zu melden: frühe Erstmeldung innerhalb von 24 Stunden, Meldung innerhalb von 72 Stunden und Abschlussmeldung innerhalb eines Monats?",Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,"Der Prozess sollte Zuständigkeiten, Entscheidungskriterien, benötigte Informationen und Vertretungen enthalten.",§ 32 BSIG; Art. 23 NIS2,Hoch,,,Noch nicht beantwortet
15,5 Backups & Notfallvorsorge,Werden wichtige Daten und Systeme regelmäßig gesichert?,Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,Häufigkeit und Umfang sollten zum möglichen Schaden bei Datenverlust passen.,§ 30 Abs. 2 Nr. 3 BSIG; Art. 21 Abs. 2 c NIS2,Hoch,,,Noch nicht beantwortet
16,5 Backups & Notfallvorsorge,Sind Backups vor Veränderung oder Löschung geschützt und getrennt vom normalen System gespeichert?,Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,"Zum Beispiel offline, unveränderbar oder in einem getrennten Konto bzw. Standort.",§ 30 Abs. 2 Nr. 3 BSIG; Art. 21 Abs. 2 c NIS2,Hoch,,,Noch nicht beantwortet
17,5 Backups & Notfallvorsorge,"Wird regelmäßig getestet, ob Daten und Systeme aus den Backups wirklich wiederhergestellt werden können?",Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,Ein vorhandenes Backup reicht nicht; die Wiederherstellung sollte praktisch getestet und dokumentiert werden.,"§ 30 Abs. 2 Nr. 3 und 6 BSIG; Art. 21 Abs. 2 c, f NIS2",Hoch,,,Noch nicht beantwortet
18,5 Backups & Notfallvorsorge,"Gibt es einen Notfall- und Wiederanlaufplan, der wichtige Prozesse, Zuständigkeiten und Wiederherstellungsziele festlegt?",Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,"Zum Beispiel maximale Ausfallzeit, tolerierbarer Datenverlust, Ersatzlösungen und Krisenorganisation.",§ 30 Abs. 2 Nr. 3 BSIG; Art. 21 Abs. 2 c NIS2,Hoch,,,Noch nicht beantwortet
19,6 Lieferkette,Sind die wichtigsten IT-Dienstleister und Lieferanten bekannt und nach ihrem Sicherheitsrisiko bewertet?,Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,"Besonders relevant sind Cloud, Hosting, Software, Fernwartung, Managed Services und zentrale Hardwarelieferanten.",§ 30 Abs. 2 Nr. 4 BSIG; Art. 21 Abs. 2 d und Abs. 3 NIS2,Hoch,,,Noch nicht beantwortet
20,6 Lieferkette,Enthalten Verträge mit wichtigen Dienstleistern klare Anforderungen zur IT-Sicherheit und zu Sicherheitsvorfällen?,Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,"Zum Beispiel Meldewege, Reaktionszeiten, Zugriffsrechte, Unterauftragnehmer, Backups und Beendigung des Vertrags.",§ 30 Abs. 2 Nr. 4 BSIG; Art. 21 Abs. 2 d und Abs. 3 NIS2,Mittel,,,Noch nicht beantwortet
21,6 Lieferkette,"Gibt es einen Ablauf für Ausfälle, Sicherheitsprobleme oder den Wechsel eines wichtigen Dienstleisters?",Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,"Zum Beispiel Ausweichlösung, Datenrückgabe, Sperrung von Zugängen und sichere Vertragsbeendigung.",§ 30 Abs. 2 Nr. 3–4 BSIG; Art. 21 Abs. 2 c–d NIS2,Mittel,,,Noch nicht beantwortet
22,7 Sichere Systeme & Schwachstellen,"Werden Sicherheitsanforderungen bereits beim Kauf, bei der Entwicklung und bei Änderungen von IT-Systemen berücksichtigt?",Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,"Zum Beispiel Mindestanforderungen, Freigaben, sichere Einstellungen, Tests und dokumentierte Änderungen.",§ 30 Abs. 2 Nr. 5 BSIG; Art. 21 Abs. 2 e NIS2,Hoch,,,Noch nicht beantwortet
23,7 Sichere Systeme & Schwachstellen,"Gibt es einen geregelten Prozess, um Sicherheitsupdates und Patches zeitnah einzuspielen?",Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,"Der Prozess sollte Verantwortliche, Prioritäten, Testverfahren und Fristen für kritische Lücken festlegen.",§ 30 Abs. 2 Nr. 5 BSIG; Art. 21 Abs. 2 e NIS2,Hoch,,,Noch nicht beantwortet
24,7 Sichere Systeme & Schwachstellen,"Gibt es einen geregelten Prozess, um Schwachstellen zu finden, zu bewerten, zu beheben und gegebenenfalls offenzulegen?",Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,"Zum Beispiel Scans, Meldemöglichkeit, Risikobewertung, Behebung und Dokumentation.",§ 30 Abs. 2 Nr. 5 BSIG; Art. 21 Abs. 2 e NIS2,Hoch,,,Noch nicht beantwortet
25,8 Wirksamkeitsprüfung,"Wird regelmäßig geprüft, ob die eingeführten Sicherheitsmaßnahmen wirksam sind?",Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,"Zum Beispiel interne Kontrollen, Audits, Schwachstellenscans, Wiederherstellungstests oder Übungen.",§ 30 Abs. 2 Nr. 6 BSIG; Art. 21 Abs. 2 f NIS2,Hoch,,,Noch nicht beantwortet
26,8 Wirksamkeitsprüfung,"Werden erkannte Lücken mit Verantwortlichen, Fristen und Umsetzungsnachweisen verfolgt?",Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,"Die Maßnahmenliste sollte priorisiert, regelmäßig aktualisiert und von der Leitung nachverfolgt werden.",§ 30 Abs. 1 und Abs. 2 Nr. 6 BSIG; Art. 21 Abs. 4 NIS2,Hoch,,,Noch nicht beantwortet
27,9 Schulung & Cyberhygiene,"Erhalten Mitarbeitende regelmäßig verständliche Schulungen zu Phishing, Passwörtern, Datenschutz und sicherem Arbeiten?",Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,"Schulungen sollten wiederholt, rollenbezogen und möglichst durch Übungen ergänzt werden.",§ 30 Abs. 2 Nr. 7 BSIG; Art. 21 Abs. 2 g NIS2,Mittel,,,Noch nicht beantwortet
28,9 Schulung & Cyberhygiene,"Gibt es verbindliche Grundregeln für sicheres Arbeiten, zum Beispiel zu Passwörtern, Updates, E-Mail, mobilen Geräten und Homeoffice?",Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,"Die Regeln sollten leicht auffindbar, verständlich und technisch unterstützt sein.",§ 30 Abs. 2 Nr. 7 BSIG; Art. 21 Abs. 2 g NIS2,Mittel,,,Noch nicht beantwortet
29,"10 Verschlüsselung, Kommunikation & physischer Schutz",Werden sensible Daten und wichtige Verbindungen angemessen verschlüsselt?,Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,"Zum Beispiel Festplatten, Backups, mobile Geräte, Webseiten, Fernzugriffe und Datenaustausch.",§ 30 Abs. 2 Nr. 8 BSIG; Art. 21 Abs. 2 h NIS2,Mittel,,,Noch nicht beantwortet
30,"10 Verschlüsselung, Kommunikation & physischer Schutz","Gibt es sichere Kommunikationswege für den normalen Betrieb und für Notfälle, die auch bei einem Ausfall der üblichen Systeme genutzt werden können?",Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,"Zum Beispiel abgesicherte Sprach-, Video- und Textkommunikation sowie ein alternativer Notfallkanal.",§ 30 Abs. 2 Nr. 10 BSIG; Art. 21 Abs. 2 j NIS2,Mittel,,,Noch nicht beantwortet
31,"10 Verschlüsselung, Kommunikation & physischer Schutz","Sind wichtige IT-Systeme und Räume gegen unbefugten Zutritt, Stromausfall, Feuer, Wasser und andere physische Gefahren geschützt?",Vollständig umgesetzt / Teilweise umgesetzt / Nicht umgesetzt / Unsicher / Nicht relevant,"Der Schutz sollte zur Bedeutung des Systems passen, zum Beispiel Zutrittskontrolle, USV, Brandschutz und geeigneter Standort.",§ 30 Abs. 1–2 BSIG; Art. 21 Abs. 2 NIS2 (gefahrenübergreifender Ansatz),Mittel,,,Noch nicht beantwortet
