"KW";"Datum";"Bereich";"Aufgabe";"Was habe ich gemacht?";"Ergebnis / Output";"Stunden";"Status";"Problem / Blocker";"Nächster Schritt";"Notizen / Reflexion"
"22";"28.05.2026";"Branding / UI";"Visuelles Grundsystem aktualisieren";"Neue globale Styles und Logo-SVGs integriert.";"Eigenständigeres Branding statt Starter-Template-Optik.";"2,0";"Erledigt / später weiterentwickelt";"Keine wesentlichen Blocker im Diff erkennbar.";"Schema und Produktseiten an die konkreten Anforderungen anpassen.";"Branding und globale Styles wurden als wiederverwendbare Grundlage angelegt."
"22";"29.05.2026";"Datenbank / Produktstruktur";"Schema und Modulprototypen an Anforderungen anpassen";"Datenbankschema umfassend neu modelliert, Datenbank- und Produktdokumentation aktualisiert und Beispielseiten durch Dashboard-, Gap-Analyse- und weitere Produktmodule ersetzt.";"Anforderungsnahes Schema und sichtbarer Produktaufbau mit realen Modulseiten.";"5,0";"Erledigt / später weiterentwickelt";"Das bisherige Schema und mehrere Beispielseiten passten nicht mehr zum konkretisierten Produkt.";"App-Shell konsolidieren und lokale Ausführungsoptionen untersuchen.";"Schema und UI wurden gemeinsam angepasst, damit die Domänenbegriffe in beiden Schichten übereinstimmen."
"24";"10.06.2026";"Frontend / Designsystem";"App-Shell, Sidebar und Ladezustände überarbeiten";"Globale Styles, responsive Sidebar, Topbar, Dropdowns, Breadcrumbs, Tabs, Skeletons und organisationsbezogene Layouts neu aufgebaut. Aktive Tabs, Übersetzungen und Ladezustände korrigiert.";"Konsistentere, responsive Anwendungsoberfläche mit stabileren Navigations- und Ladezuständen.";"4,5";"Erledigt / später weiter verfeinert";"Remounts, aktive Zustände und uneinheitliche Layouts führten zu sichtbaren UI-Sprüngen.";"Authentifizierte und Gast-Workflows auf gemeinsame Komponenten ausrichten.";"Die UI-Basis wurde zentralisiert, wodurch spätere Workflow-Seiten weniger eigenes Layout benötigten."
"24";"10.06.2026";"Desktop / Lokale KI";"Downloadbare Desktop-App mit lokalem Modell prototypisieren";"Electron-Hauptprozess, IPC/Preload, Ollama-Laufzeitverwaltung, Runtime-Integritätsprüfungen, lokale KI-Einstellungen und Build-Skripte implementiert.";"Technischer Desktop-/Ollama-Prototyp mit Tests und lokaler Modellsteuerung.";"3,5";"Prototyp / nicht in main übernommen";"Der Desktop-Build lief, die Datenbankanbindung funktionierte darin jedoch noch nicht zuverlässig.";"Lokale Datenbank- und Auth-Verbindung für Desktop klären oder Architektur vereinfachen.";"Die Arbeit blieb in einem separaten Git-Zweig und wird deshalb nicht als produktiver Main-Stand ausgewiesen."
"24";"12.06.2026";"Auth / UI";"Auth-Komponenten vereinheitlichen und Browser-Styling korrigieren";"Login- und Registrierungsfelder für Gast- und Bestandsnutzer wiederverwendbar gemacht, Passwortregeln getestet und problematische Dark-/Light-Mode- sowie Chrome-Styles entfernt.";"Einheitlichere Auth-Formulare mit zentraler Passwortvalidierung.";"1,5";"Erledigt";"Browser-Eigenstyles und doppelte Formlogik erzeugten inkonsistente Darstellung und Validierung.";"Gast-Assessment vollständig implementieren.";"Gemeinsame Eingabekomponenten reduzierten Unterschiede zwischen normaler Registrierung und Gast-Konvertierung."
"24";"12.06.2026";"Gast-Assessment / Backend";"Öffentlichen Fragebogen mit Kontoübernahme umsetzen";"API, Service, Schema, Regeln, Rate-Limit, Fragebogen, Fortschrittsanzeige, Ergebnis, PDF-Export, Claim- und Kontoerstellungsfluss implementiert. Nebenläufige Antwortspeicherung und lokale Rate-Limit-Probleme behoben und Tests ergänzt.";"Vollständiger anonymer Assessment-Workflow vom Start bis PDF und späterer Kontoübernahme.";"6,5";"Erledigt / später ersetzt";"Parallele Antwort-Saves, Rate-Limit-Verhalten und Fortschrittsberechnung verursachten Race Conditions und falsche Zustände.";"Gast- und Organisations-Assessment technisch zusammenführen.";"Die Tests deckten nicht nur Regeln, sondern auch Auth-Validierung und Rate-Limit-Verhalten ab."
"26";"24.06.2026";"Navigation / Dokumentation";"Ladezustände und Dokumentationsstruktur konsolidieren";"Zentrale Navigation-Loading-Komponente eingeführt, Skeleton-Fallbacks und Layouts über viele Routen vereinheitlicht, Sidebar stabilisiert und Dokumentation in Architektur-, Produkt-, AI- und Engineering-Bereiche gegliedert.";"Weniger Layout-Flackern und besser auffindbare technische Dokumentation.";"2,5";"Erledigt";"Viele route-spezifische Ladezustände waren dupliziert und Tabs wurden unnötig neu gemountet.";"Assessment-Komponenten zwischen Gast- und Organisationsfluss wiederverwenden.";"Zentrale Loading- und Dokumentationsstrukturen senkten Wartungsaufwand."
"26";"24.06.2026";"Assessment / Auth / Organisationen";"Gast-Assessment in Organisationsworkflow überführen";"Organisationsbezogene Assessment-APIs und Seiten ergänzt, Gast-Fragebogen- und Ergebnis-Komponenten wiederverwendet, Routing korrigiert und Claim-Flows für neue sowie bestehende Konten inklusive Organisationswahl umgesetzt.";"Durchgängiger Übergang vom öffentlichen Check zu Konto, Organisation und übernommenem Assessment.";"5,5";"Erledigt / später neu modelliert";"Routing, doppelte Komponenten und die Zuordnung eines Gast-Assessments zu Benutzer und Organisation waren komplex.";"Datenmodell vereinfachen und Compliance-Definitionen zentralisieren.";"Der wichtigste Output war nicht nur der Check, sondern der verlustfreie Übergang in den authentifizierten Produktfluss."
"26";"25.06.2026";"Gast-Assessment";"Fragebogen- und Servicefehler korrigieren";"Antwortlogik im Gast-Fragebogen und eine Servicebedingung punktuell korrigiert, zusätzlich Dependency-Audit ausgeführt.";"Stabilerer Gast-Assessment-Ablauf und bereinigte Abhängigkeiten.";"1,0";"Erledigt";"Kleine Inkonsistenz zwischen UI-Antwortzustand und serverseitiger Verarbeitung.";"Geplanten Schema-Neuaufbau durchführen.";"Kurzer Stabilisierungstag vor dem größeren Architekturumbau."
"26";"26.06.2026";"Datenbank / Architektur";"Altes Datenmodell entfernen und Compliance-Grundlage neu aufbauen";"Legacy-Assessment-, Chat- und Dokumentstrukturen entfernt, Schema stark reduziert und anschließend Frameworks, Module, Regeln, lokalisierte Werte sowie Seed- und Cleanup-Skripte neu aufgebaut. Architekturplan und Datenbankdokumentation detailliert ergänzt.";"Deutlich fokussierteres Schema mit versionierbaren Compliance-Grunddaten und reproduzierbarem Seed.";"4,0";"Erledigt / später nochmals vereinfacht";"Das alte Modell enthielt viele ungenutzte Tabellen und gekoppelte Services, der Umbau verursachte große Lösch- und Migrationsdifferenzen.";"Fragebogen- und Regelmodell auf der neuen Grundlage implementieren.";"Der radikale Schnitt reduzierte Altlasten, erforderte aber später weitere Migrations- und Persistenzarbeit."
"26";"26.06.2026";"UI / Komponenten";"Fragebogen-Bausteine und UI-Bibliothek aktualisieren";"Questionnaire-Preview aufgebaut, Select durch Combobox ersetzt und zahlreiche Shadcn-Komponenten für Dialoge, Felder, Popover, Toasts und Toggles ergänzt beziehungsweise aktualisiert.";"Wiederverwendbare UI-Bausteine für dynamische Compliance-Fragebögen.";"1,5";"Erledigt";"Die bisherige Select-Komponente war für umfangreiche, lokalisierte Optionen ungeeignet.";"Neuen Betroffenheitscheck darauf aufbauen.";"Die Komponentenarbeit war klar auf die nachfolgende Fachfunktion ausgerichtet."
"26";"26.06.2026";"Betroffenheitscheck / Backend";"Regelgesteuerten Betroffenheitscheck neu implementieren";"Submission-API, Seiten für Start, Antworten und Ergebnis, dynamisches Formular, Rule-Set- und Evaluation-Schemas, Auswertungsservice, Validierung, Sprachauflösung, Seeds und umfangreiche Regeltests umgesetzt.";"Erster datengetriebener Betroffenheitscheck mit serverseitig validierter, reproduzierbarer Auswertung.";"4,5";"Erledigt / später versioniert";"Regeldefinitionen und lokalisierte Daten mussten typisiert werden, um inkonsistente Auswertungen zu verhindern.";"Gastzugang und Übernahme in Organisationen wieder ergänzen.";"Die Trennung von Rule-Set-Schema und Auswertung machte die Logik testbarer."
"26";"28.06.2026";"Betroffenheitscheck / Gast-Workflow";"Gast-Check auf das neue Modell migrieren";"Alten Gast-Assessment-Stack entfernt und neuen anonymen Betroffenheitscheck mit Cookie-Lifecycle, Ergebnisabruf, Claim-API, Login/Registrierung und anschließender Organisationserstellung implementiert. URL-gegen-Cookie-Priorität und Claim-Auth korrigiert.";"Öffentlich nutzbarer Check mit sicherer Ergebnisübernahme in ein Benutzerkonto und eine Organisation.";"5,5";"Erledigt / später weiterentwickelt";"Anonyme Identität, URL-Parameter, Cookies und Auth-Status konnten konkurrierende Assessment-Zuordnungen erzeugen.";"Compliance-Regeln versionieren und Veröffentlichungsprozess aufbauen.";"Der neue Flow ersetzte den kurz zuvor entfernten Legacy-Stack mit einer schlankeren Facharchitektur."
"29";"16.07.2026";"Compliance-Engine / Publishing";"NIS2-Regeln und unveränderliche Releases versionieren";"Scope-Regeln, bedingte Fragen und Ergebnislokalisierung überarbeitet. Code-definierte NIS2-Releases, Entitätskatalog, rechtliche Quellen, Compiler, Validierung, Veröffentlichung, Aktivierung, Registry, RLS-SQL, Operator-Skripte und Tests aufgebaut.";"Versionierbare und aktivierbare Compliance-Releases mit reproduzierbarer NIS2-Auswertung.";"8,0";"Erledigt / später vereinfacht";"Regeldefinition, Lokalisierung und veröffentlichter Laufzeitstand mussten konsistent und unveränderlich zusammengeführt werden.";"Runtime-Abfragen beschleunigen und Gap-Analyse auf veröffentlichte Definitionen setzen.";"Die Release-Grenze verbesserte Nachvollziehbarkeit, brachte aber zunächst hohe Schema- und Betriebs-Komplexität."
"29";"17.07.2026";"Performance / Compliance-Runtime";"Veröffentlichte Definitionen effizient laden";"Direktleser, PostgreSQL-Assembler und Cache-Leser für Compliance-Releases implementiert, Datenbankzugriffe gebündelt, Benchmarks und Persistenztests ergänzt.";"Messbar weniger und gezieltere Abfragen für Betroffenheitscheck und Organisationsdaten.";"2,5";"Erledigt / später weiter optimiert";"Die erste Release-Architektur erzeugte zu viele kleine Datenbankabfragen.";"Gap-Analyse auf die neue Runtime aufsetzen.";"Performance wurde mit Benchmarks und Query-Tests statt nur subjektiv bewertet."
"29";"17.07.2026";"Gap-Analyse / Action Plan";"Evidenzbasierte Gap-Analyse implementieren";"APIs, UI-Workflow, Dokument-Parsing und -Retrieval, Fragebogen, AI-Prompting, Findings, Review, Revisionen, Staleness, Permissions sowie Aktionsplan-Generierung implementiert und mit Tests und Smoke-Skripten abgesichert.";"Durchgängiger Gap-Analyse-Prototyp von Evidenz und Fragebogen bis Findings und Maßnahmenplan.";"4,5";"Erledigt / später mehrfach gehärtet";"Der Workflow verband viele Domänen und benötigte klare Voraussetzungen, Berechtigungen und Validierung.";"Dokument-Lifecycle und Neubewertungen ergänzen.";"Der vollständige Slice zeigte früh, an welchen Stellen Persistenz und Job-Verarbeitung tiefer werden mussten."
"29";"17.07.2026";"Dokumente / Reassessment";"Dokumenten-Lifecycle und Neubewertung integrieren";"Dokumentbibliothek mit Versionen, Archivierung und Nutzungstracking ergänzt. Reassessment-Auswahl, Evidenz-Generierung, Retry, Workflow-State sowie Aktionsplan-Reconciliation umgesetzt und Architektur- und Produktdoku aktualisiert.";"Dokumentänderungen konnten kontrolliert eine Neubewertung und Anpassung des Aktionsplans auslösen.";"4,0";"Erledigt / später asynchronisiert";"Dokumentversionen, bestehende Findings und Maßnahmen mussten ohne Verlust historischer Zusammenhänge abgeglichen werden.";"Backend-Schnittstellen, Idempotenz und Corpus-Architektur systematisch planen.";"Die Dokumentverwaltung wurde als Teil des Compliance-Lebenszyklus und nicht als isolierter Upload behandelt."
"30";"22.07.2026";"Architektur / Planung";"Backend- und Legal-Corpus-Roadmap ausarbeiten";"33 Architecture Decision Records sowie zwei umfangreiche Pläne für interne API-/Service-Vervollständigung und einen autoritativen, quellengebundenen Rechtskorpus erstellt.";"Dokumentierte Entscheidungen zu Versionierung, Grounding, Jobs, Uploads, Sicherheit, Audit, Idempotenz und Betrieb.";"6,0";"Dokumentiert / geplant";"Die gewachsene Architektur hatte viele implizite Entscheidungen und uneinheitliche Backend-Schnittstellen.";"Roadmap in API-, Auth-, Corpus- und Job-Module umsetzen.";"Die ADR-Serie machte Annahmen explizit, wurde bei späterer Vereinfachung teilweise wieder entfernt."
"30";"23.07.2026";"Backend-Plattform / Auth";"API- und Service-Schicht vervollständigen";"Zahlreiche Admin-, Corpus-, Job-, Organisations-, Upload-, Report- und Workflow-Routen auf gemeinsame Handler, Verträge, Capability-Prüfungen und Service-Methoden umgestellt. Auth-Routen, Idempotenz, Audit und serverseitige Berechtigungen gehärtet.";"Breitere, typisierte Backend-Schnittstelle mit einheitlicher Fehler- und Berechtigungsbehandlung.";"3,0";"Erledigt / später vereinfacht";"Viele Routen enthielten zuvor eigene Auth-, Parsing- und Fehlerlogik.";"Hot-Path-Abfragen messen und reduzieren.";"Der große Querschnittsumbau schuf Konsistenz, erhöhte kurzfristig aber die Integrationsfläche."
"30";"23.07.2026";"Performance / Datenzugriff";"Gap- und Dokumentabfragen beschleunigen";"Workflow-Reader, PostgreSQL-Seitendaten, Release-Loader und Dokumentzugriffe gebündelt, Cache-Strategien ergänzt und umfangreiche Query-Performance-Tests sowie Benchmarks erstellt.";"Weniger Roundtrips und schnellere Gap-Analyse- und Dokumentseiten.";"3,0";"Erledigt / später nochmals optimiert";"N+1-Abfragen und wiederholtes Laden derselben Workflow-Daten verlangsamten Seiten deutlich.";"Gap-Lifecycle und Benutzerführung vereinfachen.";"Query-Budgets wurden als testbarer Vertrag behandelt."
"30";"23.07.2026";"Gap-Analyse / UX";"Gap-Workflow vereinfachen und Lifecycle sperren";"Geführten Workflow, Ergebnisdarstellung, Toggle-Antworten, Statuskorrekturen und vereinfachte Findings umgesetzt. Nach Start einer Gap-Analyse wurde der Betroffenheitscheck gegen nachträgliche Änderungen gesperrt, Farben und Reader weiter korrigiert.";"Klarerer linearer Gap-Analyse-Ablauf mit konsistentem Lifecycle.";"5,0";"Erledigt / später neu gestaltet";"Komplexe Statusübergänge und parallele Änderungsmöglichkeiten erzeugten widersprüchliche Zustände.";"Lokalisierung, Datenpersistenz und Quellenanzeige bereinigen.";"Die Sperre machte deutlich, dass Compliance-Ergebnisse eine nachvollziehbare zeitliche Basis benötigen."
"30";"24.07.2026";"Internationalisierung";"Deutsch/Englisch bis in generierte Inhalte durchziehen";"i18n in Moduldateien aufgeteilt, Definitionen und UI-Texte lokalisiert, Sprachfelder und Übersetzungsprovenienz ergänzt und die Ausgabesprache von AI-generierten Findings und Maßnahmen am Workflow festgeschrieben.";"Konsistente zweisprachige UI und sprachstabile generierte Compliance-Ergebnisse.";"3,0";"Erledigt";"UI-Sprache, Definitionssprache und AI-Ausgabesprache konnten zuvor auseinanderlaufen.";"Persistenzmodell auf Sprach- und Herkunftsintegrität prüfen.";"Sprache wurde als persistierte fachliche Eigenschaft statt nur als Darstellungsoption behandelt."
"30";"24.07.2026";"Datenbank / Persistenz";"Schema- und Persistenzarchitektur bereinigen";"Legacy-Tabellen entfernt, Gap-Requirement-Dictionary normalisiert, Spaltennutzung auditiert, Constraints, Trigger, typisierte Referenzen, Indexe und Remediation-SQL ergänzt sowie Reset-, Rehearsal- und Verifikationsdokumentation erstellt.";"Strengeres, besser prüfbares Persistenzmodell mit Integritätsnachweisen und Migrationsplan.";"4,5";"Erledigt / später vereinfacht";"Historisch gewachsene Spalten, polymorphe Bezüge und fehlende Constraints machten Datenherkunft schwer prüfbar.";"Drizzle- und RLS-Workflow konsolidieren.";"Die Arbeit kombinierte Schemaänderungen mit automatisierten Nachweisen statt nur Dokumentation."
"30";"24.07.2026";"Gap-Analyse / Quellen";"Quellenzugriff kompakter und sicherer gestalten";"Source-Projektion, sichere Dokumentzugriffsroute und kompakte Quellenanzeige für Findings umgesetzt, historische Revisionen und lokalisierte Ausgabe getestet.";"Direkt nutzbare Quellenlinks an Gap-Findings ohne Offenlegung unzulässiger Daten.";"2,0";"Erledigt";"Quellen mussten sowohl organisationsbezogen autorisiert als auch für historische Revisionen stabil bleiben.";"Länderunterstützung und Organisationseinstellungen überarbeiten.";"Quellen wurden als Teil des Finding-Vertrags modelliert, nicht nur als UI-Zusatz."
"30";"25.07.2026";"Betroffenheitscheck / Länderlogik";"Länderunterstützung und Gap-Berechtigung absichern";"Unterstützte Länder modelliert, Deutschland-Default und Sperren für nicht unterstützte Jurisdiktionen umgesetzt, Recalculation-Lock, Grounding-Policy, Smoke-Skript und Tests ergänzt sowie aktuelles NIS2-Regelwerk dokumentiert.";"Verlässliche Entscheidung, ob ein Betroffenheitscheck und eine Gap-Analyse fachlich unterstützt werden.";"3,0";"Erledigt";"Der Rechtsrahmen war zunächst implizit auf Deutschland beschränkt, ohne technische Sperre.";"Organisationen und deren Länder-/Mitgliedsdaten neu strukturieren.";"Explizite Nicht-Unterstützung ist sicherer als scheinbar gültige Ergebnisse für falsche Jurisdiktionen."
"30";"25.07.2026";"Organisationen / Mitglieder";"Organisationsverwaltung neu gestalten";"Erstellen, Bearbeiten, Archivieren und Wiederherstellen von Organisationen, Länderwahl, Avatar, Mitgliederliste, Einladungen sowie Deaktivierung/Reaktivierung umgesetzt. Capability-, Concurrency-, User-Directory- und E2E-Tests ergänzt.";"Vollständigerer Organisations- und Mitglieder-Lifecycle mit rollenbasierten Aktionen.";"3,0";"Erledigt / später vereinfacht";"Benutzerprojektion und Mitgliedsstatus waren im alten Service zu eng gekoppelt und unvollständig.";"Datenbankzugriffe und RLS-Regeln auf das neue Modell anpassen.";"Der Redesign-Slice verband UI, Contracts, Services, SQL und E2E-Tests."
"30";"25.07.2026";"Datenbank / Drizzle / RLS";"Drizzle v1 und serverseitige RLS-Struktur migrieren";"Drizzle auf v1 aktualisiert, Relationsdatei und Constraint-Renames eingeführt, Server-only-RLS- und Operator-SQL vereinheitlicht sowie umfangreiche Schema-, Integritäts- und Migrationsprüfungen ergänzt.";"Aktualisierter ORM-Workflow und reproduzierbar prüfbare Datenbanksicherheit.";"3,0";"Erledigt";"Neue Drizzle-Namen und bestehende Datenbank-Constraints mussten ohne unkontrollierte DDL-Abweichungen zusammengeführt werden.";"Geführten Gap-Fragebogen und Prompting weiterentwickeln.";"Die Migration wurde mit Hints und Tests kontrolliert statt blind generiert."
"30";"25.07.2026";"Betroffenheitscheck / Gap-Planung";"Tooltips und geführten Gap-Fragebogen vorbereiten";"Betroffenheitscheck-Fragen und Tooltips anhand der Produktvorlage erweitert, lokalisierte Metadaten im Release ergänzt und den nächsten geführten Gap-Fragebogen detailliert geplant.";"Verbesserte Erklärungstexte und umsetzbarer Plan für den nächsten Gap-Workflow.";"1,5";"Erledigt / Folgearbeit geplant";"Fachfragen waren ohne Kontext für Nutzer schwer eindeutig zu beantworten.";"Guided-Gap-Release und Freitextklassifikation implementieren.";"Fachliche Erklärungstexte wurden gemeinsam mit Release- und Testschema gepflegt."
"30";"26.07.2026";"Gap-Analyse / Fragebogen";"Geführten Gap-Fragebogen mit deterministischer Auswertung bauen";"Questionnaire-Draft-API, autospeicherbare Antworten, neue Gap-Schritte, deterministischen Evaluator und Guided-Releases implementiert. Datenbanktrigger, RLS und Smoke-Tests angepasst.";"Geführte Gap-Analyse mit strukturierten Antworten und reproduzierbaren Vorbewertungen.";"3,5";"Erledigt / weiterentwickelt";"Erste Generierung scheiterte an zu strikten beziehungsweise unpassenden Grounding- und Validierungsverträgen.";"AI-Generierung und Aktionshinweise qualitativ härten.";"Deterministische Vorarbeit reduzierte die Menge an Entscheidungen, die dem Modell überlassen wurden."
"30";"26.07.2026";"KI / Gap- und Maßnahmenqualität";"Grounding, Findings und Aktionsplan-Generierung härten";"Organisationsevidenz und Rechtskorpus getrennt geretrieved, Provenienz und Safety-Validierung erweitert, atomare Gap-Generierung, Guidance-Policy und neue Prompt-/Schema-Versionen umgesetzt. Manuelle mehrsprachige Evaluationsfälle und zahlreiche Contract-Tests erzeugt.";"Robustere, nachvollziehbare Findings und Maßnahmen mit Qualitätsnachweisen.";"6,5";"Erledigt / später weiter gehärtet";"Unsichere oder widersprüchliche Evidenz, Tokenbudgets und Schemaabweichungen führten zu fehlerhaften Modellantworten.";"Generierung als langlebige Jobs absichern und Deployment vorbereiten.";"Der hohe Anteil an Evaluationen zeigt, dass semantische Qualität nicht allein durch Typprüfung abgesichert werden kann."
"31";"27.07.2026";"Deployment / DevOps";"Docker- und Self-Hosting-Infrastruktur aufbauen";"Produktions-Dockerfile, lokale und getrennte App-/AI-Compose-Stacks, Supabase-Basis, Health-Checks, Environment-Validierung, Storage-Bootstrap, Migrationen, Backup/Restore, Monitoring, Security-Konfiguration, CI/CD-Workflows und Runbooks erstellt.";"Umfangreiche lokale und produktionsnahe Deployment-Grundlage mit Betriebsdokumentation.";"7,0";"Erledigt / Umfang später reduziert";"App, Datenbank, Worker, Dokumentverarbeitung und lokale Modelle hatten viele voneinander abhängige Dienste und Secrets.";"Stack praktisch qualifizieren und nicht benötigte Deployment-Pfade reduzieren.";"Der Ansatz dokumentierte nicht nur Startbefehle, sondern auch Betrieb, Wiederherstellung und Incident Response."
"31";"27.07.2026";"KI / Planung";"Zuverlässigkeit von Gap- und Aktionsplan-Generierung planen";"Fehlerbilder und Maßnahmen für versionierte Verträge, Job-Lifecycle, Retries, Prompting und manuelle Qualifikation dokumentiert.";"Konkreter Umsetzungsplan für robuste AI-Generierung.";"1,0";"Dokumentiert / geplant";"Modellantworten und lange Generierungen waren noch nicht ausreichend wiederholbar und fehlertolerant.";"Reliability-Verträge und Job-Ausführung implementieren.";"Die Planung folgte unmittelbar aus den manuellen Evaluationsergebnissen."
